S1,S2,S3,S4,S5,ax,ay,az,gx,gy,gz,Time
0.08914,0.12532000000000001,0.084,0.08115,0.04572,0.05,-0.99,-0.15,-1.61,-3.01,1.12,4.5
0.08793,0.12893,0.08876,0.07178,0.04459,0.05,-0.99,-0.16,-1.61,-3.29,1.33,4.51
0.09278,0.13135,0.08281000000000001,0.07411000000000001,0.05256,0.05,-0.99,-0.15,-1.89,-2.87,1.05,4.5200000000000005
0.09035,0.12532000000000001,0.08044,0.07061,0.04005,0.04,-0.98,-0.15,-1.68,-2.45,1.19,4.53
0.09278,0.11692999999999999,0.07807,0.07293999999999999,0.04118,0.03,-0.99,-0.14,-1.33,-3.01,1.33,4.54
0.08793,0.13135,0.07689,0.07528,0.04572,0.02,-1.0,-0.15,-0.98,-3.36,1.47,4.55
0.09156,0.12893,0.08519,0.07645,0.03779,0.02,-1.0,-0.15,-1.33,-3.29,1.33,4.5600000000000005
0.08671,0.11573,0.08044,0.07411000000000001,0.042319999999999997,0.03,-0.99,-0.15,-1.68,-3.15,1.26,4.57
0.08671,0.12170999999999998,0.07101,0.07061,0.04459,0.03,-0.98,-0.15,-1.54,-3.64,0.77,4.58
0.08188,0.12290999999999999,0.06867000000000001,0.07645,0.048,0.02,-0.98,-0.15,-1.19,-3.78,0.91,4.59
0.09521,0.12170999999999998,0.08162,0.07178,0.04345,0.01,-0.99,-0.15,-0.98,-3.22,0.77,4.6000000000000005
0.09156,0.12290999999999999,0.08162,0.06828,0.05028,0.01,-0.99,-0.15,-1.19,-2.73,0.63,4.61
0.09156,0.12170999999999998,0.08281000000000001,0.06828,0.048,0.01,-0.99,-0.15,-1.26,-2.45,0.49,4.62
0.09278,0.12290999999999999,0.08638,0.07293999999999999,0.04572,0.02,-0.99,-0.15,-0.98,-2.17,0.49,4.63
0.09399,0.12532000000000001,0.08044,0.07645,0.05028,0.02,-0.99,-0.15,-0.49,-2.1,0.7,4.64
0.08188,0.11335,0.08162,0.06945,0.05028,0.03,-0.99,-0.15,-0.28,-2.45,0.49,4.65
0.08914,0.12170999999999998,0.07925,0.06481,0.05028,0.03,-0.99,-0.15,-0.91,-3.01,0.0,4.66
0.09278,0.12410999999999998,0.08162,0.06828,0.035539999999999995,0.03,-0.99,-0.16,-1.19,-2.94,-0.07,4.67
0.09035,0.12170999999999998,0.07571,0.06365,0.04459,0.03,-0.99,-0.15,-0.77,-2.87,0.14,4.68
0.09278,0.11097,0.07807,0.07645,0.04459,0.03,-0.99,-0.15,-0.63,-3.01,0.07,4.69
0.0843,0.11812,0.07571,0.059039999999999995,0.04118,0.03,-0.99,-0.16,-0.91,-2.59,0.21,4.7
0.0855,0.11932000000000001,0.07689,0.06481,0.04005,0.02,-0.99,-0.16,-0.91,-1.75,0.28,4.71
0.08671,0.11335,0.07689,0.0442,0.04118,0.03,-0.99,-0.16,-0.7,-1.12,0.42,4.72
0.0843,0.11692999999999999,0.07689,0.06712,0.04572,0.04,-0.99,-0.15,-0.35,-1.4,0.63,4.73
0.08914,0.11932000000000001,0.07571,0.06596,0.035539999999999995,0.05,-0.99,-0.15,-0.21,-2.31,0.77,4.74
0.08188,0.11812,0.08281000000000001,0.06596,0.033280000000000004,0.05,-1.0,-0.16,-0.49,-2.94,0.28,4.75
0.08309,0.11097,0.0675,0.06365,0.03779,0.03,-0.99,-0.16,-1.12,-2.73,-17.85,4.76
0.08793,0.11216,0.07807,0.06134,0.04005,0.02,-0.99,-0.16,-0.91,-2.31,0.07,4.7700000000000005
0.09035,0.12652,0.07571,0.06481,0.035539999999999995,0.02,-0.98,-0.16,-0.42,-2.1,0.49,4.78
0.07947,0.10977999999999999,0.07218,0.04988,0.04005,0.02,-0.98,-0.16,-0.21,-1.89,0.7,4.79
0.07707,0.11454,0.07101,0.06019,0.035539999999999995,0.02,-0.99,-0.15,-0.14,-1.33,0.63,4.8
0.08188,0.11216,0.07218,0.06019,0.036660000000000005,0.03,-0.99,-0.14,0.07,-1.33,0.63,4.8100000000000005
0.07227,0.11692999999999999,0.064,0.06134,0.035539999999999995,0.04,-1.0,-0.15,-0.07,-1.96,0.35,4.82
0.07587,0.11335,0.06633,0.06945,0.035539999999999995,0.04,-0.99,-0.15,-0.7,-2.38,0.21,4.83
0.08671,0.11097,0.08162,0.06596,0.036660000000000005,0.04,-0.99,-0.15,-0.91,-2.8,-0.07,4.84
0.08068,0.10386,0.07925,0.07411000000000001,0.035539999999999995,0.04,-0.99,-0.15,-0.63,-3.22,-0.21,4.8500000000000005
0.08068,0.11097,0.07218,0.06249,0.028789999999999996,0.03,-0.99,-0.15,-0.63,-3.57,-0.21,4.86
0.07947,0.12410999999999998,0.06984,0.04988,0.031039999999999998,0.03,-0.99,-0.15,-0.7,-3.5,-0.14,4.87
0.0843,0.11097,0.07689,0.06019,0.03779,0.02,-0.99,-0.15,-0.14,-3.78,0.14,4.88
0.07707,0.11216,0.06168,0.06249,0.04005,0.03,-1.0,-0.16,0.07,-3.43,0.42,4.89
