S1,S2,S3,S4,S5,ax,ay,az,gx,gy,gz,Time
0.06838,0.1562,0.27999,0.11764000000000001,0.05371,-0.3,-0.95,-0.09,0.77,-1.54,1.19,17.1
0.06383,0.16737,0.28203,0.11922,0.06012000000000001,-0.3,-0.96,-0.09,0.7,-1.75,1.05,17.11
0.046939999999999996,0.15497,0.26781,0.11606,0.05691,-0.3,-0.96,-0.08,0.49,-1.61,0.91,17.12
0.05591,0.15991,0.26579,0.11764000000000001,0.05371,-0.29,-0.95,-0.08,0.35,-1.68,0.91,17.13
0.061560000000000004,0.16115,0.27999,0.10347999999999999,0.052110000000000004,-0.3,-0.95,-0.08,0.35,-2.31,0.98,17.14
0.05704,0.15868,0.28203,0.11764000000000001,0.047310000000000005,-0.3,-0.96,-0.08,0.49,-2.59,1.12,17.150000000000002
0.058170000000000006,0.1562,0.26983,0.10347999999999999,0.052110000000000004,-0.29,-0.96,-0.08,0.49,-2.8,1.05,17.16
0.061560000000000004,0.15374000000000002,0.26579,0.10191,0.04572,-0.3,-0.96,-0.09,0.56,-2.59,1.19,17.17
0.06496,0.15868,0.28203,0.10976,0.04891,-0.3,-0.96,-0.09,0.28,-2.8,1.12,17.18
0.06496,0.1562,0.28407,0.11764000000000001,0.05371,-0.3,-0.96,-0.09,0.0,-3.22,0.98,17.19
0.06383,0.1562,0.27186,0.10819000000000001,0.05371,-0.3,-0.95,-0.09,0.21,-2.59,1.26,17.2
0.058170000000000006,0.15128,0.27999,0.11133,0.055310000000000005,-0.3,-0.95,-0.09,0.7,-2.24,1.47,17.21
0.06838,0.1562,0.27999,0.09877999999999999,0.03935,-0.3,-0.95,-0.09,0.56,-2.24,1.4,17.22
0.0593,0.1562,0.27592,0.09722,0.05371,-0.3,-0.95,-0.09,0.35,-1.96,1.4,17.23
0.0593,0.16239,0.28203,0.10505,0.055310000000000005,-0.3,-0.95,-0.09,0.56,-1.61,1.47,17.240000000000002
0.06043,0.15744,0.26781,0.11291,0.05371,-0.3,-0.95,-0.09,0.91,-1.47,1.61,17.25
0.05591,0.16985999999999998,0.28407,0.10191,0.055310000000000005,-0.3,-0.96,-0.09,0.77,-1.33,1.68,17.26
0.06043,0.16612000000000002,0.28203,0.10347999999999999,0.06334,-0.3,-0.96,-0.09,0.77,-1.26,1.54,17.27
0.061560000000000004,0.16239,0.27592,0.10035,0.055310000000000005,-0.3,-0.95,-0.09,0.84,-1.12,1.75,17.28
0.05591,0.15497,0.26983,0.10819000000000001,0.05371,-0.3,-0.95,-0.08,0.84,-1.12,1.54,17.29
0.058170000000000006,0.15374000000000002,0.27186,0.12397000000000001,0.047310000000000005,-0.3,-0.95,-0.09,0.91,-1.4,1.75,17.3
0.05704,0.15991,0.27186,0.10976,0.06012000000000001,-0.3,-0.96,-0.09,0.91,-1.19,1.75,17.31
0.06496,0.15991,0.28407,0.11764000000000001,0.052110000000000004,-0.3,-0.95,-0.09,0.7,-1.19,1.68,17.32
0.06724,0.16363,0.27999,0.11133,0.04572,-0.3,-0.96,-0.08,0.84,-1.4,1.82,17.330000000000002
0.07295,0.15991,0.27389,0.10347999999999999,0.05691,-0.3,-0.96,-0.09,0.77,-1.54,1.89,17.34
0.06269,0.15991,0.27186,0.10347999999999999,0.04572,-0.3,-0.96,-0.08,0.49,-1.54,1.89,17.35
0.06496,0.15744,0.27186,0.10819000000000001,0.05371,-0.3,-0.96,-0.08,0.42,-1.68,1.75,17.36
0.061560000000000004,0.15497,0.26377,0.10819000000000001,0.052110000000000004,-0.3,-0.96,-0.08,0.63,-2.1,1.75,17.37
0.06383,0.15497,0.27389,0.10976,0.05371,-0.3,-0.95,-0.08,0.63,-2.45,1.96,17.38
0.06043,0.15128,0.27795,0.10662,0.05371,-0.3,-0.96,-0.08,0.28,-2.59,1.89,17.39
0.0661,0.15374000000000002,0.27999,0.10505,0.05852,-0.3,-0.96,-0.08,0.35,-2.59,1.75,17.400000000000002
0.06496,0.1562,0.26983,0.09722,0.06172999999999999,-0.31,-0.96,-0.08,0.35,-2.8,1.82,17.41
0.06724,0.15374000000000002,0.26983,0.10347999999999999,0.03935,-0.3,-0.96,-0.09,0.28,-2.8,1.89,17.42
0.06043,0.15744,0.27389,0.11764000000000001,0.05691,-0.31,-0.95,-0.09,0.42,-2.73,1.75,17.43
0.06269,0.1562,0.28203,0.09722,0.05051,-0.31,-0.95,-0.09,0.56,-2.52,1.75,17.44
0.05704,0.15005,0.27999,0.11291,0.047310000000000005,-0.31,-0.95,-0.08,0.42,-2.17,1.82,17.45
0.06269,0.15374000000000002,0.26579,0.10191,0.04891,-0.31,-0.95,-0.09,0.56,-2.45,1.82,17.46
0.050289999999999994,0.15128,0.26781,0.11291,0.052110000000000004,-0.31,-0.96,-0.09,0.56,-2.17,1.68,17.47
0.054779999999999995,0.14637,0.26579,0.10662,0.05371,-0.31,-0.96,-0.08,0.21,-1.82,1.54,17.48
0.050289999999999994,0.15128,0.27389,0.10505,0.052110000000000004,-0.31,-0.95,-0.08,0.21,-1.82,1.54,17.490000000000002
0.05366,0.15128,0.27186,0.11764000000000001,0.047310000000000005,-0.31,-0.95,-0.08,0.77,-2.24,1.61,17.5
0.058170000000000006,0.15744,0.26781,0.10347999999999999,0.04412,-0.31,-0.95,-0.08,0.63,-2.24,1.68,17.51
0.05366,0.1476,0.26377,0.10976,0.05691,-0.31,-0.96,-0.08,0.35,-1.75,1.47,17.52
0.05704,0.14637,0.26377,0.10347999999999999,0.04572,-0.31,-0.96,-0.08,0.21,-2.03,1.33,17.53
0.052539999999999996,0.15374000000000002,0.26377,0.11133,0.05371,-0.31,-0.96,-0.09,0.28,-1.82,1.33,17.54
0.06496,0.15250999999999998,0.26377,0.10662,0.055310000000000005,-0.3,-0.96,-0.08,0.14,-1.75,1.33,17.55
0.06383,0.15250999999999998,0.25974,0.11133,0.05371,-0.31,-0.95,-0.08,0.21,-1.75,1.05,17.56
0.05366,0.1476,0.26175,0.10662,0.06012000000000001,-0.31,-0.95,-0.08,0.35,-1.61,1.19,17.57
0.05366,0.14515,0.25371,0.08943,0.052110000000000004,-0.3,-0.96,-0.09,0.07,-2.03,1.19,17.580000000000002
