S1,S2,S3,S4,S5,ax,ay,az,gx,gy,gz,Time
0.461,1.5067700000000002,3.01226,1.24542,0.21197,-0.19,-0.96,0.22,-0.28,-1.47,0.56,45.9
0.45893,1.50397,3.08704,1.2423799999999998,0.20655,-0.19,-0.96,0.22,-0.49,-1.68,0.56,45.910000000000004
0.45996000000000004,1.4956,3.09551,1.2272299999999998,0.2025,-0.19,-0.96,0.22,-0.07,-1.68,0.63,45.92
0.45686000000000004,1.49282,3.06184,1.2423799999999998,0.19309,-0.18,-0.96,0.22,0.07,-2.03,0.7,45.93
0.46723000000000003,1.50958,3.14696,1.2393399999999999,0.20115,-0.19,-0.96,0.22,0.07,-2.45,0.63,45.94
0.46931999999999996,1.49282,3.12109,1.24542,0.19309,-0.19,-0.96,0.22,0.14,-2.66,0.77,45.95
0.46411,1.48727,3.1039999999999996,1.2545600000000001,0.19309,-0.18,-0.97,0.22,0.21,-2.66,0.84,45.96
0.45893,1.49282,3.1039999999999996,1.2545600000000001,0.20655,-0.18,-0.97,0.22,0.0,-2.24,0.7,45.97
0.45996000000000004,1.5067700000000002,3.09551,1.23631,0.19981,-0.18,-0.97,0.21,-0.42,-2.24,0.49,45.980000000000004
0.46515,1.5067700000000002,3.11253,1.23631,0.19309,-0.18,-0.97,0.21,-0.63,-2.31,0.42,45.99
0.46515,1.5208700000000002,3.1383099999999997,1.23631,0.20115,-0.19,-0.96,0.21,-0.42,-2.24,0.56,46.0
0.4507,1.4983799999999998,3.12968,1.2272299999999998,0.19577,-0.19,-0.96,0.21,-0.14,-1.96,0.77,46.01
0.4507,1.48175,3.02867,1.23328,0.19981,-0.19,-0.96,0.22,0.0,-2.03,0.84,46.02
0.46307,1.50118,3.1383099999999997,1.2667899999999999,0.2052,-0.18,-0.96,0.21,0.07,-1.82,0.84,46.03
0.4579,1.48451,2.99598,1.23328,0.20115,-0.18,-0.96,0.22,0.07,-1.89,1.05,46.04
0.45275,1.4653,3.0369099999999998,1.2393399999999999,0.20115,-0.18,-0.96,0.22,0.14,-2.31,1.12,46.050000000000004
0.45378,1.49282,3.0451900000000003,1.2393399999999999,0.19846,-0.18,-0.97,0.22,0.0,-2.1,0.98,46.06
0.45275,1.4735,3.06184,1.23328,0.20655,-0.18,-0.96,0.22,-0.21,-2.1,1.05,46.07
0.45996000000000004,1.48727,3.07021,1.2393399999999999,0.2025,-0.18,-0.97,0.22,-0.14,-2.17,0.91,46.08
0.4548,1.4956,3.02867,1.22421,0.19846,-0.19,-0.96,0.22,0.14,-1.96,0.98,46.09
0.45275,1.50397,3.06184,1.21517,0.19846,-0.19,-0.97,0.22,0.14,-1.82,0.98,46.1
0.4548,1.49004,3.0535,1.23025,0.20655,-0.19,-0.96,0.21,0.21,-1.96,0.91,46.11
0.45378,1.4956,3.0451900000000003,1.22421,0.19981,-0.19,-0.96,0.22,0.14,-1.82,0.91,46.12
0.45893,1.4956,3.07861,1.2272299999999998,0.19309,-0.19,-0.97,0.22,0.35,-1.96,0.98,46.13
0.4507,1.46258,3.07861,1.2272299999999998,0.20115,-0.19,-0.97,0.22,0.21,-2.17,1.05,46.14
0.4507,1.48175,3.06184,1.2423799999999998,0.20385,-0.19,-0.97,0.22,-0.07,-2.45,0.98,46.15
0.4579,1.48727,3.0451900000000003,1.2423799999999998,0.2052,-0.19,-0.96,0.21,-0.07,-2.45,0.77,46.160000000000004
0.44968,1.49282,3.1039999999999996,1.2393399999999999,0.21061,-0.19,-0.96,0.22,0.07,-2.52,0.98,46.17
0.45378,1.48175,3.07861,1.2393399999999999,0.20655,-0.19,-0.96,0.22,0.21,-2.59,0.91,46.18
0.45173,1.47076,3.02045,1.2393399999999999,0.21197,-0.19,-0.97,0.22,0.0,-2.8,0.91,46.19
0.45583,1.4735,3.0451900000000003,1.2545600000000001,0.20655,-0.19,-0.96,0.22,0.0,-2.59,0.77,46.2
0.45173,1.4956,3.1039999999999996,1.2393399999999999,0.2052,-0.19,-0.96,0.22,0.0,-2.38,0.63,46.21
0.45378,1.49004,3.0451900000000003,1.2272299999999998,0.19712000000000002,-0.19,-0.96,0.22,0.14,-2.38,0.56,46.22
0.46411,1.4956,3.07861,1.2272299999999998,0.2025,-0.19,-0.96,0.22,0.07,-2.45,0.56,46.230000000000004
0.46411,1.5237,3.08704,1.2272299999999998,0.20115,-0.19,-0.96,0.22,0.0,-2.31,0.35,46.24
0.43649,1.47076,3.00411,1.22421,0.2079,-0.19,-0.96,0.22,-0.14,-2.24,0.35,46.25
0.45996000000000004,1.4956,3.06184,1.23631,0.20115,-0.19,-0.96,0.22,-0.07,-2.24,0.42,46.26
0.4579,1.50118,3.11253,1.22119,0.20385,-0.18,-0.96,0.22,0.0,-2.38,0.56,46.27
0.45583,1.47899,3.07021,1.2272299999999998,0.20655,-0.18,-0.96,0.22,-0.14,-2.45,0.56,46.28
0.44764,1.47624,3.07861,1.2393399999999999,0.20655,-0.19,-0.97,0.22,-0.21,-2.1,0.56,46.29
0.46618999999999994,1.51521,3.15565,1.2423799999999998,0.19309,-0.18,-0.97,0.22,-0.21,-2.1,0.7,46.300000000000004
0.45378,1.48175,3.0451900000000003,1.22421,0.20115,-0.18,-0.97,0.22,-0.14,-2.17,0.56,46.31
0.45583,1.48175,3.1039999999999996,1.2393399999999999,0.21061,-0.18,-0.96,0.22,-0.07,-2.03,0.56,46.32
0.45275,1.4956,3.02045,1.23328,0.20115,-0.18,-0.96,0.22,-0.07,-2.03,0.84,46.33
0.4548,1.4956,3.1383099999999997,1.21517,0.18241,-0.18,-0.97,0.22,-0.21,-2.38,0.77,46.34
0.45686000000000004,1.47899,3.07021,1.23631,0.2052,-0.18,-0.96,0.22,-0.35,-2.52,0.91,46.35
0.4548,1.48727,3.07861,1.22421,0.19846,-0.18,-0.96,0.22,-0.14,-2.38,0.84,46.36
0.45173,1.50118,3.07021,1.21217,0.20655,-0.19,-0.96,0.22,-0.14,-2.1,1.05,46.37
0.45378,1.4983799999999998,3.07861,1.2272299999999998,0.20385,-0.19,-0.96,0.21,0.0,-2.1,1.19,46.38
0.45173,1.5067700000000002,3.01226,1.20317,0.19577,-0.19,-0.97,0.22,0.21,-1.89,1.19,46.39
0.45893,1.5067700000000002,3.09551,1.2423799999999998,0.19712000000000002,-0.19,-0.97,0.21,-0.14,-1.61,0.84,46.4
0.45583,1.47624,3.0535,1.23025,0.2025,-0.19,-0.97,0.21,-0.21,-1.33,0.7,46.410000000000004
0.45996000000000004,1.47899,3.0535,1.20916,0.19041,-0.18,-0.96,0.21,0.14,-1.26,0.63,46.42
0.4548,1.48175,3.0535,1.2423799999999998,0.2025,-0.18,-0.97,0.22,0.14,-1.75,0.63,46.43
0.45378,1.49004,3.0369099999999998,1.2181799999999998,0.19309,-0.18,-0.96,0.22,-0.14,-2.52,0.77,46.44
0.45583,1.48727,3.06184,1.22421,0.20115,-0.18,-0.96,0.21,-0.14,-3.01,0.98,46.45
0.4507,1.47899,3.0535,1.23025,0.21333000000000002,-0.18,-0.96,0.22,0.07,-3.29,1.19,46.46
0.44866000000000006,1.48451,3.0369099999999998,1.2181799999999998,0.2025,-0.19,-0.97,0.21,0.14,-3.29,1.19,46.47
0.45173,1.47899,3.18192,1.21517,0.2052,-0.19,-0.97,0.22,-0.07,-3.08,1.12,46.480000000000004
0.44764,1.4653,3.01226,1.20018,0.2025,-0.19,-0.97,0.22,-0.14,-2.66,1.05,46.49
0.4548,1.49004,3.09551,1.22119,0.19309,-0.19,-0.96,0.22,0.0,-2.24,0.77,46.5
0.45173,1.47076,3.0535,1.22119,0.19712000000000002,-0.19,-0.97,0.22,0.14,-1.82,0.63,46.51
0.45173,1.47899,3.06184,1.23025,0.2025,-0.19,-0.96,0.22,0.21,-1.82,0.49,46.52
0.44866000000000006,1.45715,3.00411,1.2393399999999999,0.20385,-0.19,-0.96,0.22,0.07,-1.82,0.56,46.53
0.44866000000000006,1.48451,3.07861,1.20317,0.2025,-0.18,-0.96,0.22,0.35,-1.89,0.35,46.54
0.45378,1.4490399999999999,3.01226,1.2423799999999998,0.20385,-0.18,-0.96,0.22,0.56,-2.52,0.77,46.550000000000004
0.4507,1.47899,3.0369099999999998,1.20916,0.20385,-0.19,-0.96,0.21,0.49,-3.01,1.05,46.56
0.4507,1.48727,3.08704,1.21217,0.2025,-0.19,-0.97,0.22,0.28,-3.43,1.05,46.57
0.44866000000000006,1.46258,3.06184,1.2181799999999998,0.2025,-0.19,-0.97,0.21,0.07,-3.57,0.91,46.58
0.45996000000000004,1.49004,3.09551,1.23631,0.19175,-0.18,-0.97,0.21,0.14,-3.57,0.7,46.59
0.44154,1.45174,2.99598,1.2423799999999998,0.2025,-0.19,-0.97,0.21,0.14,-3.22,0.84,46.6
0.45275,1.48175,3.0535,1.22119,0.2025,-0.19,-0.96,0.21,0.07,-3.08,0.77,46.61
0.44661999999999996,1.49004,3.02867,1.1793200000000001,0.19309,-0.19,-0.96,0.22,0.14,-2.94,0.63,46.62
0.4548,1.4956,3.1039999999999996,1.2181799999999998,0.2052,-0.19,-0.96,0.22,0.14,-2.8,0.56,46.63
0.44661999999999996,1.4735,3.07021,1.21517,0.19981,-0.19,-0.96,0.22,0.28,-2.52,0.63,46.64
0.45378,1.5067700000000002,3.15565,1.2181799999999998,0.19577,-0.18,-0.96,0.22,0.42,-2.52,0.63,46.65
0.45583,1.47624,3.09551,1.21517,0.18774000000000002,-0.18,-0.96,0.22,0.42,-2.45,0.63,46.660000000000004
0.45173,1.47899,3.0535,1.2181799999999998,0.2025,-0.18,-0.96,0.22,0.42,-2.31,0.63,46.67
0.45173,1.47899,3.0535,1.21517,0.20385,-0.18,-0.97,0.22,0.21,-2.38,0.7,46.68
0.44764,1.45986,3.02867,1.2181799999999998,0.21061,-0.18,-0.96,0.22,0.07,-2.45,0.56,46.69
0.44661999999999996,1.4490399999999999,2.9717700000000002,1.2181799999999998,0.21061,-0.18,-0.96,0.22,0.21,-2.73,0.49,46.7
